Sujeto 00: ACC=0.7018, F1=0.5750
Sujeto 01: ACC=1.0000, F1=1.0000
Sujeto 02: ACC=0.5000, F1=0.6667
Sujeto 03: ACC=0.7368, F1=0.7115
Sujeto 04: ACC=0.3070, F1=0.1505
Sujeto 05: ACC=0.5614, F1=0.6951
Sujeto 06: ACC=0.9123, F1=0.9107
Sujeto 07: ACC=0.5439, F1=0.6867
Sujeto 08: ACC=0.7982, F1=0.7579
Sujeto 09: ACC=0.8421, F1=0.8364
Sujeto 10: ACC=0.8421, F1=0.8302
Sujeto 11: ACC=0.6404, F1=0.7320
Sujeto 12: ACC=0.3333, F1=0.3770
Sujeto 13: ACC=0.9474, F1=0.9455
Sujeto 14: ACC=0.4912, F1=0.6548
Sujeto 15: ACC=0.4912, F1=0.2162
Sujeto 16: ACC=0.3333, F1=0.3968
Sujeto 17: ACC=0.7018, F1=0.7703
Sujeto 18: ACC=0.5000, F1=0.0000
Sujeto 19: ACC=0.7193, F1=0.6444
Sujeto 20: ACC=0.9737, F1=0.9730
Sujeto 21: ACC=0.3772, F1=0.5103
Sujeto 22: ACC=0.7456, F1=0.7071
Sujeto 23: ACC=0.7544, F1=0.7500
Sujeto 24: ACC=0.6930, F1=0.6237
Sujeto 25: ACC=0.6842, F1=0.5610
Sujeto 26: ACC=0.9474, F1=0.9474
Sujeto 27: ACC=0.9035, F1=0.9076
Sujeto 28: ACC=1.0000, F1=1.0000
Sujeto 29: ACC=0.5351, F1=0.1311
Sujeto 30: ACC=0.7544, F1=0.7200
Sujeto 31: ACC=0.5000, F1=0.4771
Sujeto 32: ACC=0.7807, F1=0.7191
Sujeto 33: ACC=0.5789, F1=0.5102
Sujeto 34: ACC=0.5175, F1=0.1791
Sujeto 35: ACC=0.8684, F1=0.8837
