timestamp,sample_count,seq,f_ch1_delta,f_ch1_theta,f_ch1_alpha,f_ch1_beta,f_ch1_gamma,f_ch2_delta,f_ch2_theta,f_ch2_alpha,f_ch2_beta,f_ch2_gamma
1776770553.8875616,2000,207,4.107411,3.674667,5.150177,2.6660087,2.277154,3.5784502,4.085722,5.0909934,2.6784513,2.2698781
1776770554.8875864,2250,201,3.898563,3.6396766,5.1540666,2.5664723,2.257316,3.246738,4.0692353,5.08556,2.5886717,2.2421827
1776770555.8874214,2500,195,3.834778,3.6261718,5.154861,2.5414321,2.2445767,3.035593,4.063001,5.0830064,2.559234,2.2425518
1776770556.8877556,2750,189,3.7126892,3.6026127,5.1569867,2.4831269,2.2261899,2.722935,4.0534005,5.078731,2.4895048,2.2475243
1776770557.8873432,3000,183,3.7160485,3.5997353,5.156889,2.4743946,2.2345195,2.5485113,4.0537424,5.0767727,2.483684,2.2636297
1776770558.9107108,3250,177,3.7511675,3.602895,5.1587677,2.4597402,2.2349803,2.654905,4.050376,5.074675,2.4665911,2.260752
1776770559.8873894,3500,171,3.736969,3.6047986,5.160688,2.4439566,2.232909,2.465761,4.0433936,5.0736146,2.446761,2.2344053
1776770560.887553,3750,165,3.7437541,3.6070194,5.162533,2.443323,2.2111251,2.4909801,4.0373654,5.073129,2.4217055,2.227536
1776770561.8881266,4000,159,3.903551,3.6364605,5.1632276,2.5387943,2.236037,2.81979,4.039392,5.072555,2.4847844,2.2821558
1776770562.8874714,4250,153,4.1065145,3.6663854,5.1641297,2.6343744,2.2613175,3.4432042,4.042745,5.0708265,2.565397,2.3498814
1776770563.887781,4500,147,4.306879,3.6994503,5.165561,2.7299616,2.3038883,3.936798,4.048549,5.069486,2.650905,2.4035037
1776770564.8878765,4750,141,4.3107114,3.7019386,5.1667657,2.727618,2.3136094,3.9497936,4.050671,5.068804,2.658554,2.3924017
1776770565.8879128,5000,135,4.3119106,3.701563,5.167956,2.7319858,2.3196163,3.9570816,4.050709,5.068937,2.6618948,2.3830063
1776770566.8877697,5250,129,4.30831,3.701177,5.1682906,2.7335742,2.3114336,3.9606736,4.0526204,5.070295,2.665857,2.3693297
1776770567.8879316,5500,123,4.311662,3.7009504,5.167899,2.7409089,2.2948112,3.9546547,4.055038,5.072066,2.6783721,2.3654947
1776770568.8877966,5750,117,4.241509,3.6929371,5.1643205,2.711467,2.2656653,3.8455334,4.067904,5.0745664,2.6508312,2.3272097
1776770569.887683,6000,111,4.0616097,3.6642525,5.164,2.6116629,2.2154577,3.2829475,4.067085,5.0743265,2.5814881,2.262352
1776770570.8877456,6250,105,3.843675,3.6331797,5.164316,2.5105245,2.1711855,2.8445594,4.066395,5.0737,2.4916246,2.1893103
1776770571.8875935,6500,99,3.7016895,3.610339,5.16587,2.4508724,2.116811,2.3346684,4.0551333,5.0727773,2.4339323,2.1368458
1776770572.8879278,6750,93,3.6635475,3.607768,5.165094,2.4712586,2.0871565,2.4531083,4.0530567,5.072704,2.4201283,2.1199343
1776770573.8878314,7000,87,3.6830227,3.6071198,5.1640153,2.4864147,2.057892,2.350228,4.0499563,5.0728717,2.4224007,2.1150742
1776770574.887949,7250,81,3.6941416,3.6083698,5.1647735,2.5012696,2.0718708,2.6121752,4.049528,5.0715675,2.4234998,2.1123238
1776770575.8878658,7500,75,3.7005947,3.6064026,5.164864,2.4982078,2.0938866,2.5843866,4.050269,5.071711,2.423124,2.1099803
1776770576.8878257,7750,69,3.8949013,3.635763,5.1657076,2.582339,2.1644468,3.136099,4.0485997,5.072038,2.5085375,2.1411574
1776770577.8877823,8000,63,4.0978613,3.664735,5.165901,2.653701,2.2278345,3.5018795,4.0476785,5.072674,2.59753,2.1891837
1776770578.8877566,8250,57,4.3174834,3.700896,5.165398,2.734896,2.2831538,3.9850533,4.0438824,5.0730433,2.6891499,2.2254117
1776770579.88798,8500,51,4.327275,3.707486,5.16494,2.7282808,2.2977393,3.9935524,4.044214,5.0728602,2.6914241,2.2272437
